address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon
Свердловская область;Екатеринбург;район Железнодорожный;Автомагистральная ул.;д.11,район Железнодорожный,Автомагистральная ул.,д.11,"56.869407,60.562665",64.0,3650000,57031,56.869407,60.562665
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Индустрии;д.52,район Орджоникидзевский,ул. Индустрии,д.52,"56.899586,60.600313",74.0,3700000,50000,56.899586,60.600313
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Инженерная;д.43,Химмаш мкр,ул. Инженерная,д.43,"56.756839,60.706719",64.0,3740000,58437,56.756839,60.706719
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Начдива Онуфриева;д.28,Юго-Западный мкр,ул. Начдива Онуфриева,д.28,"56.801085,60.551562",63.4,3749000,59132,56.801085,60.551562
Свердловская область;Екатеринбург;район Верх-Исетский;Посадская ул.;д.59,район Верх-Исетский,Посадская ул.,д.59,"56.819971,60.580299",74.0,3730000,50405,56.819971,60.580299
Свердловская область;Екатеринбург;район Железнодорожный;Старая Сортировка мкр;ул. Кунарская;д.63,Старая Сортировка мкр,ул. Кунарская,д.63,"56.884532,60.500941",78.0,3700000,47435,56.884532,60.500941
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",57.5,4545840,79085,56.843608,60.674976
Свердловская область;Екатеринбург;район Ленинский;ул. Краснолесья;д.26,район Ленинский,ул. Краснолесья,д.26,"56.783870,60.544815",57.2,4500000,78671,56.783870,60.544815
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",69.0,4570000,66231,56.782927,60.647289
Свердловская область;Екатеринбург;район Чкаловский;ул. 8 Марта,Екатеринбург,район Чкаловский,ул. 8 Марта,"56.792054,60.610382",62.3,4584400,73550,56.792054,60.610382
Свердловская область;Екатеринбург;район Верх-Исетский;Суходольская ул.,Екатеринбург,район Верх-Исетский,Суходольская ул.,"56.791054,60.486782",74.0,4590000,62027,56.791054,60.486782
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Крауля,Екатеринбург,район Верх-Исетский,ул. Крауля,"56.834138,60.523987",70.6,4587700,65000,56.834138,60.523987
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к1,район Железнодорожный,просп. Космонавтов,д.11к1,"56.866854,60.608111",52.6,4586720,87200,56.866854,60.608111
Свердловская область;Екатеринбург;район Чкаловский;Широкий пер.;д.2А,район Чкаловский,Широкий пер.,д.2А,"56.783041,60.651293",72.9,4589550,63000,56.783041,60.651293
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Крауля,Екатеринбург,район Верх-Исетский,ул. Крауля,"56.834138,60.523987",70.3,4570150,65000,56.834138,60.523987
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.,Екатеринбург,район Верх-Исетский,Заводская ул.,"56.822018,60.551685",67.1,4562800,68000,56.822018,60.551685
Свердловская область;Екатеринбург;район Чкаловский;ул. Крестинского,Екатеринбург,район Чкаловский,ул. Крестинского,"56.789841,60.617988",64.8,4599380,71000,56.789841,60.617988
Свердловская область;Екатеринбург;район Ленинский;ул. Краснолесья,Екатеринбург,район Ленинский,ул. Краснолесья,"56.784661,60.538231",68.5,4577400,66872,56.784661,60.538231
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.,Екатеринбург,район Чкаловский,Миасская ул.,"56.785682,60.651716",61.8,4597920,74400,56.785682,60.651716
