address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct,distr
Свердловская область;Екатеринбург;район Верх-Исетский;Суходольская ул.,Екатеринбург,ул. Евгения Савкова, 31,"56.791054,60.486782",74.0,4590000,62027,56.791054,60.486782,1,Широкая Речка
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Крауля,Екатеринбург,ул. Крауля, 168А,"56.834138,60.523987",70.6,4587700,65000,56.834138,60.523987,1,ВИЗ
Свердловская область;Екатеринбург;район Железнодорожный;просп. Космонавтов;д.11к1,район Железнодорожный,просп. Космонавтов,д.11к1,"56.866854,60.608111",52.6,4586720,87200,56.866854,60.608111,1,unknown
Свердловская область;Екатеринбург;район Чкаловский;Широкий пер.;д.2А,район Чкаловский,Широкий пер.,д.2А,"56.783041,60.651293",72.9,4589550,63000,56.783041,60.651293,1,unknown
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Крауля,Екатеринбург,ул. Крауля, 168А,"56.834138,60.523987",70.3,4570150,65000,56.834138,60.523987,1,ВИЗ
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.,Екатеринбург,ул. Начдива Васильева, 12,"56.822018,60.551685",67.1,4562800,68000,56.82201800000001,60.551685,1,Юго-Западный
Свердловская область;Екатеринбург;район Чкаловский;ул. Крестинского,Екатеринбург,ул. Крестинского, 35,"56.789841,60.617988",64.8,4599380,71000,56.789841,60.617988,1,Ботанический
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.,Екатеринбург,ул. Щербакова, 10,"56.785682,60.651716",61.8,4597920,74400,56.785682,60.651716,1,Уктус
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.,Екатеринбург,ул. Щербакова, 10,"56.785682,60.651716",61.4,4568160,74400,56.785682,60.651716,1,Уктус
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.,Екатеринбург,ул. Начдива Васильева, 14,"56.822203,60.550899",67.6,4596800,68000,56.822203,60.550899,1,Улица
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",60.7,4606000,75918,56.843608,60.674976,1,ЖБИ
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;пер. Цветочный;д.15,Эльмаш мкр,пер. Цветочный,д.15,"56.899478,60.624814",60.3,4609125,76500,56.899478,60.624814,1,Эльмаш
Свердловская область;Екатеринбург;район Верх-Исетский;Суходольская ул.,Екатеринбург,ул. Евгения Савкова, 31,"56.791054,60.486782",75.3,4630000,61487,56.791054,60.486782,1,Широкая Речка
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",74.7,4640000,62115,56.782927,60.647289,1,Уктус
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",73.7,4630000,62822,56.782927,60.647289,1,Уктус
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Калинина;д.8,район Орджоникидзевский,ул. Калинина,д.8,"56.890368,60.607607",53.9,4600000,85343,56.890368,60.607607,1,Уралмаш
Свердловская область;Екатеринбург;район Кировский;ул. Блюхера;д.97,район Кировский,ул. Блюхера,д.97,"56.865080,60.666497",73.3,4638952,63287,56.865080000000006,60.666497,1,Пионерский
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.,Екатеринбург,ул. Щербакова, 10,"56.785682,60.651716",63.3,4646220,73400,56.785682,60.651716,1,Уктус
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",64.7,4630000,71561,56.782927,60.647289,1,Уктус
Свердловская область;Екатеринбург;район Верх-Исетский;Суходольская ул.,Екатеринбург,ул. Евгения Савкова, 31,"56.791054,60.486782",79.6,4690000,58919,56.791054,60.486782,1,Широкая Речка
Свердловская область;Екатеринбург;район Орджоникидзевский;Симбирский пер.,Екатеринбург,Кировградская ул., 60,"56.896561,60.582612",44.2,3503040,79236,56.896561,60.582612,1,Улица
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Сулимова,район Кировский,ул. Данилы Зверева, 9,"56.859832,60.650756",49.0,3584093,73100,56.859832,60.65075600000001,1,Пионерский
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;ул. Павла Шаманова,район Ленинский,ул. Павла Шаманова, 5,"56.785161,60.521739",55.3,3550000,64195,56.785161,60.521739,1,Академический
Свердловская область;Екатеринбург;район Октябрьский;ул. Большакова;д.22к4,район Октябрьский,ул. Большакова,д.22к4,"56.821622,60.629023",48.0,3580000,74583,56.821622,60.629023,1,Парковый
Свердловская область;Екатеринбург;район Железнодорожный;Вокзальный мкр;пер. Выездной;д.2,Вокзальный мкр,пер. Выездной,д.2,"56.856043,60.582185",46.6,3600000,77253,56.85604300000001,60.582185,1,Вокзальный
Свердловская область;Екатеринбург;район Чкаловский;ул. Патриотов;д.6к4,район Чкаловский,ул. Патриотов,д.6к4,"56.781006,60.673269",64.5,3670592,56934,56.78100600000001,60.673269,1,unknown
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. 40-летия Комсомола,район Кировский,ул. 40-Летия Комсомола, 28,"56.827675,60.692830",57.2,3663360,64000,56.827675,60.69283000000001,1,ЖБИ
