address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct,distr
Санкт-Петербург;Красное Село;район Красносельский;ул. Лермонтова;д.22к2,район Красносельский,ул. Лермонтова,д.22к2,"59.734244,30.083627",44.6,3300000,73991,59.734244,30.083627000000003,1,"МО ""г. Красное Село"""
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.;д.43к3,район Колпинский,Загородная ул.,д.43к3,"59.773485,30.604516",47.8,3397651,71154,59.773485,30.604516,1,"МО ""г. Колпино"""
Санкт-Петербург;район Красногвардейский;Ковалевская ул.;д.24,район Красногвардейский,Ковалевская ул.,д.24,"59.978250,30.512761",42.8,3350000,78271,59.97825,30.512761,1,"МО №36 ""Ржевка"""
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.,Колпино,ул. Севастьянова, 28,"59.773639,30.606257",47.9,3407613,71155,59.773639,30.606257,1,"МО ""г. Колпино"""
Санкт-Петербург;район Невский;ул. Ольминского;д.1/81,район Невский,ул. Ольминского,д.1/81,"59.900719,30.426226",173.0,15700000,90751,59.900719,30.426226,1,"МО №49 ""Невская застава"""
Санкт-Петербург;Сестрорецк;район Курортный;ул. Коробицына;д.2Ж,район Курортный,ул. Коробицына,д.2Ж,"60.060433,29.989366",276.9,15700000,56699,60.060433,29.989366,1,"МО ""г. Сестрорецк"""
Санкт-Петербург;район Центральный;Кирочная ул.;д.17,район Центральный,Кирочная ул.,д.17,"59.943724,30.359014",195.2,15650000,80174,59.943724,30.359014,1,"МО №79 ""Литейный"""
Санкт-Петербург;район Центральный;ул. Маяковского;д.34,район Центральный,ул. Маяковского,д.34,"59.940023,30.354954",193.8,15700000,81011,59.940023,30.354954,1,"МО №79 ""Литейный"""
Санкт-Петербург;район Адмиралтейский;наб. Реки Фонтанки;д.131,район Адмиралтейский,наб. Реки Фонтанки,д.131,"59.919468,30.305645",182.0,15750000,86538,59.919468,30.305645,1,"МО №2 ""Сенной"""
Санкт-Петербург;район Адмиралтейский;Садовая ул.;д.59,район Адмиралтейский,Садовая ул.,д.59,"59.922720,30.307307",159.0,15800000,99371,59.92272,30.307307,1,"МО №3 ""Адмиралтейский"""
