address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct
Москва;район Очаково-Матвеевское;Большая Очаковская ул.;д.12к4,район Очаково-Матвеевское,Большая Очаковская ул.,д.12к4,"55.686954,37.461230",60.4,11000000,182119,55.68695400000001,37.46123,1
Москва;район Отрадное;Нововладыкинский проезд;д.1к2,район Отрадное,Нововладыкинский проезд,д.1к2,"55.850368,37.578181",59.7,11035000,184840,55.850368,37.578181,1
Москва;район Куркино;Ландышевая ул.;д.14К1,район Куркино,Ландышевая ул.,д.14К1,"55.884610,37.388421",53.0,11020000,207924,55.884609999999995,37.388421,1
Москва;район Косино-Ухтомский;ул. Дмитриевского;д.11,район Косино-Ухтомский,ул. Дмитриевского,д.11,"55.709064,37.890957",63.0,11100000,176190,55.709064,37.890957,1
Москва;район Нагатинский затон;Коломенская ул.;д.3,район Нагатинский затон,Коломенская ул.,д.3,"55.684183,37.706613",66.7,11250000,168665,55.684183,37.706613,1
Москва;Московский;район Юго-Западный;3-й мкр;д.12,район Юго-Западный,3-й мкр,д.12,"55.595323,37.339849",72.9,11400000,156485,55.595323,37.339849,1
Москва;район Соколиная гора;просп. Буденного;д.51к1,район Соколиная гора,просп. Буденного,д.51к1,"55.760449,37.737767",63.7,11432000,179466,55.760449,37.737767,1
Москва;район Войковский;ул. Космонавта Волкова;д.7,район Войковский,ул. Космонавта Волкова,д.7,"55.815999,37.509550",53.0,11400000,215094,55.815999,37.50955,1
Москва;район Ростокино;просп. Мира;д.188Бк4,район Ростокино,просп. Мира,д.188Бк4,"55.834568,37.659622",65.0,11300000,173846,55.834568000000004,37.659622,1
Москва;район Вешняки;Вешняковская ул.;д.18к1,район Вешняки,Вешняковская ул.,д.18к1,"55.723607,37.824032",50.8,11360000,223622,55.723606999999994,37.824032,1
Москва;район Бирюлево Восточное;6-я Радиальная ул.;д.5к3,район Бирюлево Восточное,6-я Радиальная ул.,д.5к3,"55.604651,37.661132",72.7,11350000,156121,55.604651000000004,37.661132,1
Москва;район Отрадное;ул. Римского-Корсакова;д.11к7,район Отрадное,ул. Римского-Корсакова,д.11к7,"55.875501,37.602247",68.5,11500000,167883,55.875501,37.602247,1
Москва;Внуковское поселение;район Внуковское;ул. Самуила Маршака;д.15,район Внуковское,ул. Самуила Маршака,д.15,"55.637510,37.328503",64.5,11500000,178294,55.63751,37.328503000000005,1
Москва;район Хорошево-Мневники;ул. Маршала Тухачевского;д.24К3,район Хорошево-Мневники,ул. Маршала Тухачевского,д.24К3,"55.785670,37.476196",51.3,11500000,224171,55.785669999999996,37.476196,1
Москва;район Бабушкинский;ул. Менжинского;д.32К3,район Бабушкинский,ул. Менжинского,д.32К3,"55.870157,37.665938",54.0,11600000,214814,55.87015699999999,37.665938,1
Москва;район Бутырский;Новодмитровская ул.;д.2к7,район Бутырский,Новодмитровская ул.,д.2к7,"55.802462,37.591934",64.8,11590000,178858,55.802462,37.591934,1
Москва;район Раменки;Мосфильмовская ул.;д.88к2с5,район Раменки,Мосфильмовская ул.,д.88к2с5,"55.704935,37.492105",80.0,37000000,462500,55.704935,37.492105,1
Москва;район Пресненский;ул. Сергея Макеева;д.9С6,район Пресненский,ул. Сергея Макеева,д.9С6,"55.762206,37.550989",83.4,38000000,455417,55.762206000000006,37.550989,1
Москва;район Некрасовка;Люберецкие Поля мкр;13-й кв-л;д.к5,Люберецкие Поля мкр,13-й кв-л,д.к5,"55.702982,37.948844",57.7,6182555,107150,55.70298199999999,37.948844,1
Москва;район Некрасовка;Рождественская ул.;д.33,район Некрасовка,Рождественская ул.,д.33,"55.703185,37.931713",59.4,8212102,138250,55.703185,37.931713,1
Москва;район Пресненский;1-й Красногвардейский проезд;д.21с2,район Пресненский,1-й Красногвардейский проезд,д.21с2,"55.749380,37.534092",185.0,99099579,535673,55.74938,37.534092,1
Москва;район Некрасовка;ул. Вертолетчиков;д.13,район Некрасовка,ул. Вертолетчиков,д.13,"55.704017,37.940921",65.2,8194560,125683,55.70401700000001,37.940921,1
Москва;район Южное Бутово;ул. Поляны;д.5,район Южное Бутово,ул. Поляны,д.5,"55.557592,37.554690",73.7,10755000,145929,55.55759200000001,37.55469,1
Москва;район Некрасовка;Люберецкие Поля мкр;13-й кв-л;д.к2,Люберецкие Поля мкр,13-й кв-л,д.к2,"55.704159,37.945916",58.0,6360013,109655,55.704159,37.945916,1
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",60.3,6891444,114285,55.702783999999994,37.946625,1
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",60.3,6879264,114083,55.702783999999994,37.946625,1
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",60.3,6867084,113881,55.702783999999994,37.946625,1
Москва;район Некрасовка;ул. Вертолетчиков;д.4к6,район Некрасовка,ул. Вертолетчиков,д.4к6,"55.702784,37.946625",60.5,6891444,113908,55.702783999999994,37.946625,1
